Year,Local Government Area,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,(blank)
2021,Hume,2910,6804,772,607,2313,2073,
2021,Indigo,80,211,22,30,59,25,
2021,Kingston,1132,4462,305,317,1125,699,
2021,Knox,1191,4547,621,377,1011,536,
2021,Latrobe,1877,3667,550,700,1935,358,
2021,Loddon,84,181,14,17,85,31,
2021,Macedon Ranges,340,750,130,91,285,258,
2021,Manningham,514,2126,127,99,303,202,
2021,Mansfield,65,146,19,38,59,61,
2021,Maribyrnong,840,4397,244,316,606,645,
2021,Maroondah,932,2867,288,343,977,302,
2021,Melbourne,3467,11549,1427,1882,2535,5097,
2021,Melton,1962,4960,377,362,1343,879,
2021,Mildura,931,1751,384,332,852,154,
2021,Mitchell,786,1158,206,147,634,232,
2021,Moira,250,765,85,85,313,132,
2021,Monash,1279,5696,403,363,997,834,
2021,Moonee Valley,820,3499,251,213,655,669,
2021,Moorabool,296,900,77,108,243,366,
2021,Moreland,1375,6151,358,352,1115,798,
2021,Mornington Peninsula,1233,3261,417,448,1238,1020,
2021,Mount Alexander,114,322,49,38,162,43,
2021,Moyne,139,196,13,38,89,34,
2021,Murrindindi,150,274,38,31,81,90,
2021,Nillumbik,283,767,65,77,232,99,
2021,Northern Grampians,212,296,80,55,166,86,
2021,Port Phillip,1432,5766,393,455,965,1163,
2021,Pyrenees,79,171,14,17,32,32,
2021,Queenscliffe,12,56,1,1,4,7,
2021,South Gippsland,347,514,41,44,249,69,
2021,Southern Grampians,183,260,68,44,161,75,
2021,Stonnington,1037,5353,389,422,733,1010,
2021,Strathbogie,102,202,15,17,87,30,
2021,Surf Coast,186,672,30,66,130,80,
2021,Swan Hill,452,576,129,119,392,190,
2021,Towong,38,74,13,6,20,2,
2021,Wangaratta,401,555,123,135,331,114,
2021,Warrnambool,500,847,143,147,448,116,
2021,Wellington,800,1175,149,183,781,129,
2021,West Wimmera,35,49,7,4,16,12,
2021,Whitehorse,933,4297,242,228,693,555,
2021,Whittlesea,2296,5480,648,423,1620,986,
2021,Wodonga,434,1046,143,157,374,263,
2021,Wyndham,2359,6632,410,397,1545,1363,
2021,Yarra,1337,6290,429,600,895,1275,
2021,Yarra Ranges,1036,2904,302,276,870,724,
2021,Yarriambiack,79,145,7,15,52,35,
2022,Alpine,86,149,16,33,61,25,
2022,Ararat,226,343,74,80,224,13,
2022,Ballarat,1166,4626,157,280,1238,127,
2022,Banyule,899,2698,216,204,1181,46,
2022,Bass Coast,595,960,64,92,372,64,
2022,Baw Baw,788,1218,166,209,596,60,
2022,Bayside,484,2304,66,94,344,53,
2022,Benalla,243,378,42,81,219,16,
2022,Boroondara,707,3995,108,137,441,60,
2022,Brimbank,2094,7274,479,540,1718,225,
2022,Buloke,45,87,42,7,26,18,
2022,Campaspe,458,1024,86,94,581,176,
2022,Cardinia,1032,2450,143,216,621,156,
2022,Casey,3146,7641,642,501,2013,211,
2022,Central Goldfields,253,297,42,48,147,36,
2022,Colac-Otway,257,452,57,78,220,150,
2022,Corangamite,122,296,28,27,94,13,
2022,Darebin,1347,5742,479,409,1119,179,
2022,East Gippsland,842,1524,164,208,761,141,
2022,Frankston,1589,3836,478,582,1681,153,
2022,Gannawarra,118,249,24,44,87,43,
2022,Glen Eira,712,3395,128,158,526,113,
2022,Glenelg,260,410,57,74,308,95,
2022,Golden Plains,80,256,11,13,56,3,
2022,Greater Bendigo,1561,3589,209,444,1603,96,
2022,Greater Dandenong,2166,6152,504,596,1623,328,
2022,Greater Geelong,2869,8070,392,737,2254,247,
2022,Greater Shepparton,1089,2649,215,280,1514,38,
2022,Hepburn,83,264,4,23,56,6,
