year,lga_name,charge_status_name,incident_count
2021,Casey,Charges laid,5757
2021,Casey,No charges laid,4311
2021,Casey,Unsolved,6069
2021,Central Goldfields,Charges laid,396
2021,Central Goldfields,No charges laid,200
2021,Central Goldfields,Unsolved,224
2021,Colac-Otway,Charges laid,553
2021,Colac-Otway,No charges laid,373
2021,Colac-Otway,Unsolved,300
2021,Corangamite,Charges laid,303
2021,Corangamite,No charges laid,167
2021,Corangamite,Unsolved,212
2021,Darebin,Charges laid,4328
2021,Darebin,No charges laid,2152
2021,Darebin,Unsolved,4995
2021,East Gippsland,Charges laid,1680
2021,East Gippsland,No charges laid,993
2021,East Gippsland,Unsolved,956
2021,Frankston,Charges laid,4518
2021,Frankston,No charges laid,2781
2021,Frankston,Unsolved,2908
2021,Gannawarra,Charges laid,320
2021,Gannawarra,No charges laid,182
2021,Gannawarra,Unsolved,137
2021,Glen Eira,Charges laid,1602
2021,Glen Eira,No charges laid,1202
2021,Glen Eira,Unsolved,3216
2021,Glenelg,Charges laid,594
2021,Glenelg,No charges laid,221
2021,Glenelg,Unsolved,233
2021,Golden Plains,Charges laid,143
2021,Golden Plains,No charges laid,77
2021,Golden Plains,Unsolved,230
2021,Greater Bendigo,Charges laid,3849
2021,Greater Bendigo,No charges laid,1419
2021,Greater Bendigo,Unsolved,2732
2021,Greater Dandenong,Charges laid,5201
2021,Greater Dandenong,No charges laid,3905
2021,Greater Dandenong,Unsolved,5115
2021,Greater Geelong,Charges laid,6993
2021,Greater Geelong,No charges laid,2585
2021,Greater Geelong,Unsolved,5933
2021,Greater Shepparton,Charges laid,2925
2021,Greater Shepparton,No charges laid,1128
2021,Greater Shepparton,Unsolved,1884
2021,Hepburn,Charges laid,170
2021,Hepburn,No charges laid,85
2021,Hepburn,Unsolved,252
2021,Hindmarsh,Charges laid,126
2021,Hindmarsh,No charges laid,56
2021,Hindmarsh,Unsolved,105
2021,Hobsons Bay,Charges laid,1568
2021,Hobsons Bay,No charges laid,1042
2021,Hobsons Bay,Unsolved,1851
2021,Horsham,Charges laid,799
2021,Horsham,No charges laid,360
2021,Horsham,Unsolved,313
2021,Hume,Charges laid,6035
2021,Hume,No charges laid,4243
2021,Hume,Unsolved,5201
2021,Indigo,Charges laid,171
2021,Indigo,No charges laid,90
2021,Indigo,Unsolved,166
2021,Kingston,Charges laid,2841
2021,Kingston,No charges laid,1800
2021,Kingston,Unsolved,3400
2021,Knox,Charges laid,3166
2021,Knox,No charges laid,1770
2021,Knox,Unsolved,3347
2021,Latrobe,Charges laid,4744
2021,Latrobe,No charges laid,1912
2021,Latrobe,Unsolved,2431
2021,Loddon,Charges laid,180
2021,Loddon,No charges laid,84
2021,Loddon,Unsolved,148
2021,Macedon Ranges,Charges laid,861
2021,Macedon Ranges,No charges laid,460
2021,Macedon Ranges,Unsolved,532
2021,Manningham,Charges laid,1159
2021,Manningham,No charges laid,600
2021,Manningham,Unsolved,1612
2021,Mansfield,Charges laid,170
2021,Mansfield,No charges laid,109
2021,Mansfield,Unsolved,109
2021,Maribyrnong,Charges laid,2234
2021,Maribyrnong,No charges laid,1260
2021,Maribyrnong,Unsolved,3554
2021,Maroondah,Charges laid,2591
2021,Maroondah,No charges laid,1162
2021,Maroondah,Unsolved,1955
2021,Melbourne,Charges laid,9306
2021,Melbourne,No charges laid,7522
2021,Melbourne,Unsolved,9129
2021,Melton,Charges laid,3888
2021,Melton,No charges laid,1913
2021,Melton,Unsolved,4082
2021,Mildura,Charges laid,2255
2021,Mildura,No charges laid,1011
2021,Mildura,Unsolved,1139
2021,Mitchell,Charges laid,1575
2021,Mitchell,No charges laid,810
2021,Mitchell,Unsolved,778
2021,Moira,Charges laid,780
2021,Moira,No charges laid,337
2021,Moira,Unsolved,513
2021,Monash,Charges laid,3245
2021,Monash,No charges laid,1934
