Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2022,March,Ballarat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,52
2022,March,Ballarat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),28
2022,March,Ballarat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,535
2022,March,Ballarat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,28
2022,March,Ballarat,2 Community,21 Education,211 School,62
2022,March,Ballarat,2 Community,21 Education,212 School Grounds,41
2022,March,Ballarat,2 Community,21 Education,213 Other Educational,5
2022,March,Ballarat,2 Community,22 Health,221 Hospital,36
2022,March,Ballarat,2 Community,22 Health,222 Medical Centre,8
2022,March,Ballarat,2 Community,22 Health,224 Other Health,22
2022,March,Ballarat,2 Community,23 Religious,231 Church,6
2022,March,Ballarat,2 Community,23 Religious,232 Other religious,3
2022,March,Ballarat,2 Community,24 Public Transport,241 Train,2
2022,March,Ballarat,2 Community,24 Public Transport,242 Train Station,39
2022,March,Ballarat,2 Community,24 Public Transport,243 Railway Carpark,24
2022,March,Ballarat,2 Community,24 Public Transport,245 Bus/Bus Stop,30
2022,March,Ballarat,2 Community,24 Public Transport,246 Depot/Terminal,2
2022,March,Ballarat,2 Community,24 Public Transport,249 Taxi,3
2022,March,Ballarat,2 Community,25 Other Transport,251 Private Car,10
2022,March,Ballarat,2 Community,25 Other Transport,252 Airfield,1
2022,March,Ballarat,2 Community,25 Other Transport,255 Carpark (Single Level),160
2022,March,Ballarat,2 Community,25 Other Transport,256 Carpark (Multi Level),8
2022,March,Ballarat,2 Community,25 Other Transport,257 Other Transport Type/Area,7
2022,March,Ballarat,2 Community,26 Justice,261 Police Station,30
2022,March,Ballarat,2 Community,26 Justice,262 Court,81
2022,March,Ballarat,2 Community,26 Justice,265 Other Justice Facility,1
2022,March,Ballarat,2 Community,26 Justice,269 Other Justice (nec),3
2022,March,Ballarat,2 Community,27 Open Space,271 Parkland/Reserve,92
2022,March,Ballarat,2 Community,27 Open Space,272 Rural,11
2022,March,Ballarat,2 Community,27 Open Space,273 Vacant Block,6
2022,March,Ballarat,2 Community,27 Open Space,275 Other Open Space,27
2022,March,Ballarat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1377
2022,March,Ballarat,2 Community,29 Other community location,291 Cemetery,3
2022,March,Ballarat,2 Community,29 Other community location,292 Civic Centre,4
2022,March,Ballarat,2 Community,29 Other community location,294 Car Wash,9
2022,March,Ballarat,3 Other,31 Admin/professional,311 Business Office,41
2022,March,Ballarat,3 Other,31 Admin/professional,312 Other Admin/Professional,15
2022,March,Ballarat,3 Other,32 Financial,321 Bank,6
2022,March,Ballarat,3 Other,32 Financial,323 ATM/Eftpos,3
2022,March,Ballarat,3 Other,32 Financial,324 Other Financial,3
2022,March,Ballarat,3 Other,33 Retail,331 Chemist/Pharmacy,11
2022,March,Ballarat,3 Other,33 Retail,3310 24Hr Convenience,20
2022,March,Ballarat,3 Other,33 Retail,3311 Restaurant/Fastfood,80
2022,March,Ballarat,3 Other,33 Retail,3312 Other Retail,331
2022,March,Ballarat,3 Other,33 Retail,332 Service Station,268
2022,March,Ballarat,3 Other,33 Retail,334 2nd Hand Dealer,6
2022,March,Ballarat,3 Other,33 Retail,335 Supermarket,126
2022,March,Ballarat,3 Other,33 Retail,336 Department Store,67
2022,March,Ballarat,3 Other,33 Retail,337 Shopping Complex,203
2022,March,Ballarat,3 Other,33 Retail,338 Car Sales Yard,36
2022,March,Ballarat,3 Other,33 Retail,339 Milkbar,7
2022,March,Ballarat,3 Other,34 Wholesale,341 Any Wholesale,3
2022,March,Ballarat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,24
2022,March,Ballarat,3 Other,36 Manufacturing,361 Factory,15
2022,March,Ballarat,3 Other,36 Manufacturing,362 Any Manufacturing,18
2022,March,Ballarat,3 Other,37 Agricultural,371 Farmland/Agricultural,11
2022,March,Ballarat,3 Other,37 Agricultural,373 Other Agricultural,4
2022,March,Ballarat,3 Other,38 Recreational,381 Licensed Premises,93
2022,March,Ballarat,3 Other,38 Recreational,382 Tab,4
2022,March,Ballarat,3 Other,38 Recreational,383 Cinema,1
2022,March,Ballarat,3 Other,38 Recreational,384 Sport Area/Facility,38
2022,March,Ballarat,3 Other,38 Recreational,385 Gaming Venue,18
2022,March,Ballarat,3 Other,38 Recreational,386 Other Rec./Sports,26
2022,March,Ballarat,3 Other,39 Other location,391 Massage Parlour/Brothel,1
2022,March,Ballarat,3 Other,39 Other location,392 Other Location (Not Elsewhere),106
2022,March,Ballarat,3 Other,39 Other location,393 Construction Site,20
2022,March,Ballarat,3 Other,39 Other location,394 Veterinary Clinic,2
2022,March,Banyule,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,299
2022,March,Banyule,1 Residential,11 Dwelling - private,112 House,1361
2022,March,Banyule,1 Residential,11 Dwelling - private,113 Bungalow,3
2022,March,Banyule,1 Residential,11 Dwelling - private,116 Ministry Of Housing,29
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,121 Boarding House,12
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,124 Nursing Home,7
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,21
2022,March,Banyule,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,132 Backyard,38
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,133 Frontyard,141
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,134 Garage,51
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,135 Shed,11
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,26
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),21
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,258
2022,March,Banyule,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,43
2022,March,Banyule,2 Community,21 Education,211 School,51
2022,March,Banyule,2 Community,21 Education,212 School Grounds,24
2022,March,Banyule,2 Community,21 Education,213 Other Educational,6
2022,March,Banyule,2 Community,22 Health,221 Hospital,73
2022,March,Banyule,2 Community,22 Health,222 Medical Centre,15
2022,March,Banyule,2 Community,22 Health,223 Dental,1
2022,March,Banyule,2 Community,22 Health,224 Other Health,25
2022,March,Banyule,2 Community,23 Religious,231 Church,6
2022,March,Banyule,2 Community,24 Public Transport,241 Train,12
2022,March,Banyule,2 Community,24 Public Transport,242 Train Station,68
2022,March,Banyule,2 Community,24 Public Transport,243 Railway Carpark,29
2022,March,Banyule,2 Community,24 Public Transport,245 Bus/Bus Stop,22
2022,March,Banyule,2 Community,24 Public Transport,246 Depot/Terminal,1
2022,March,Banyule,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2022,March,Banyule,2 Community,24 Public Transport,249 Taxi,8
2022,March,Banyule,2 Community,25 Other Transport,251 Private Car,7
2022,March,Banyule,2 Community,25 Other Transport,252 Airfield,1
2022,March,Banyule,2 Community,25 Other Transport,255 Carpark (Single Level),109
2022,March,Banyule,2 Community,25 Other Transport,256 Carpark (Multi Level),24
2022,March,Banyule,2 Community,25 Other Transport,257 Other Transport Type/Area,5
2022,March,Banyule,2 Community,26 Justice,261 Police Station,91
2022,March,Banyule,2 Community,26 Justice,262 Court,390
2022,March,Banyule,2 Community,26 Justice,264 Youth Training Centre,1
2022,March,Banyule,2 Community,26 Justice,265 Other Justice Facility,6
2022,March,Banyule,2 Community,26 Justice,269 Other Justice (nec),3
2022,March,Banyule,2 Community,27 Open Space,271 Parkland/Reserve,61
2022,March,Banyule,2 Community,27 Open Space,275 Other Open Space,3
2022,March,Banyule,2 Community,28 Street/footpath,281 Street/Lane/Footpath,832
2022,March,Banyule,2 Community,29 Other community location,291 Cemetery,1
2022,March,Banyule,2 Community,29 Other community location,292 Civic Centre,4
2022,March,Banyule,2 Community,29 Other community location,294 Car Wash,4
2022,March,Banyule,3 Other,31 Admin/professional,311 Business Office,14
2022,March,Banyule,3 Other,31 Admin/professional,312 Other Admin/Professional,22
2022,March,Banyule,3 Other,32 Financial,321 Bank,12
2022,March,Banyule,3 Other,32 Financial,323 ATM/Eftpos,2
2022,March,Banyule,3 Other,32 Financial,324 Other Financial,1
2022,March,Banyule,3 Other,33 Retail,331 Chemist/Pharmacy,24
2022,March,Banyule,3 Other,33 Retail,3310 24Hr Convenience,15
2022,March,Banyule,3 Other,33 Retail,3311 Restaurant/Fastfood,55
2022,March,Banyule,3 Other,33 Retail,3312 Other Retail,118
2022,March,Banyule,3 Other,33 Retail,332 Service Station,70
2022,March,Banyule,3 Other,33 Retail,333 Jeweller,1
2022,March,Banyule,3 Other,33 Retail,334 2nd Hand Dealer,2
2022,March,Banyule,3 Other,33 Retail,335 Supermarket,90
2022,March,Banyule,3 Other,33 Retail,336 Department Store,14
2022,March,Banyule,3 Other,33 Retail,337 Shopping Complex,140
2022,March,Banyule,3 Other,33 Retail,338 Car Sales Yard,9
2022,March,Banyule,3 Other,33 Retail,339 Milkbar,5
2022,March,Banyule,3 Other,35 Warehousing/storage,351 Warehousing/Storage,16
2022,March,Banyule,3 Other,36 Manufacturing,361 Factory,24
2022,March,Banyule,3 Other,36 Manufacturing,362 Any Manufacturing,8
2022,March,Banyule,3 Other,38 Recreational,381 Licensed Premises,27
2022,March,Banyule,3 Other,38 Recreational,382 Tab,1
2022,March,Banyule,3 Other,38 Recreational,383 Cinema,1
2022,March,Banyule,3 Other,38 Recreational,384 Sport Area/Facility,23
2022,March,Banyule,3 Other,38 Recreational,385 Gaming Venue,6
2022,March,Banyule,3 Other,38 Recreational,386 Other Rec./Sports,19
2022,March,Banyule,3 Other,39 Other location,391 Massage Parlour/Brothel,2
2022,March,Banyule,3 Other,39 Other location,392 Other Location (Not Elsewhere),63
2022,March,Banyule,3 Other,39 Other location,393 Construction Site,12
2022,March,Banyule,3 Other,39 Other location,394 Veterinary Clinic,1
2022,March,Bass Coast,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,73
2022,March,Bass Coast,1 Residential,11 Dwelling - private,112 House,856
2022,March,Bass Coast,1 Residential,11 Dwelling - private,113 Bungalow,6
2022,March,Bass Coast,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2022,March,Bass Coast,1 Residential,11 Dwelling - private,116 Ministry Of Housing,6
2022,March,Bass Coast,1 Residential,11 Dwelling - private,117 Farm House,8
2022,March,Bass Coast,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2022,March,Bass Coast,1 Residential,12 Dwelling  - non-private,122 Holiday Home,53
2022,March,Bass Coast,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2022,March,Bass Coast,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,14
2022,March,Bass Coast,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,4
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,1310 Farm Building,8
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,132 Backyard,28
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,133 Frontyard,60
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,134 Garage,25
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,135 Shed,37
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,15
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),4
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,83
2022,March,Bass Coast,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,5
2022,March,Bass Coast,2 Community,21 Education,211 School,15
2022,March,Bass Coast,2 Community,21 Education,212 School Grounds,16
2022,March,Bass Coast,2 Community,21 Education,213 Other Educational,6
2022,March,Bass Coast,2 Community,22 Health,221 Hospital,6
2022,March,Bass Coast,2 Community,22 Health,222 Medical Centre,5
2022,March,Bass Coast,2 Community,23 Religious,231 Church,8
2022,March,Bass Coast,2 Community,24 Public Transport,245 Bus/Bus Stop,7
2022,March,Bass Coast,2 Community,25 Other Transport,251 Private Car,1
