Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2017,March,4 Western, Hindmarsh,288,5036.726128017
2017,March,4 Western, Horsham,1756,8830.776967563
2017,March,4 Western, Loddon,393,5235.113893699
2017,March,4 Western, Macedon Ranges,1643,3393.085787452
2017,March,4 Western, Mildura,5216,9459.214391934
2017,March,4 Western, Moorabool,1981,5923.688774595
2017,March,4 Western, Mount Alexander,908,4705.394620926
2017,March,4 Western, Moyne,488,2905.972726731
2017,March,4 Western, Northern Grampians,933,8101.067986455
2017,March,4 Western, Pyrenees,360,4892.633867899
2017,March,4 Western, Queenscliffe,135,4562.352145995
2017,March,4 Western, Southern Grampians,1025,6357.377659245
2017,March,4 Western, Surf Coast,1068,3407.024595655
2017,March,4 Western, Swan Hill,1753,8408.883772245
2017,March,4 Western, Warrnambool,2589,7489.369087911
2017,March,4 Western, West Wimmera,123,3158.705701079
2017,March,4 Western, Yarriambiack,330,4937.163375224
2017,March,4 Western,Total,66699,6795.279705853
2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1125,
2017,March,Justice Institutions and Immigration Facilities,Total,1125,
2017,March,Unincorporated Vic, Unincorporated Vic,126,
2017,March,Unincorporated Vic,Total,126,
2016,March,1 North West Metro, Banyule,7224,5668.238561912
2016,March,1 North West Metro, Brimbank,14970,7331.407022871
2016,March,1 North West Metro, Darebin,11893,7666.670964248
2016,March,1 North West Metro, Hobsons Bay,5541,5929.69126224
2016,March,1 North West Metro, Hume,15598,7533.773503799
2016,March,1 North West Metro, Maribyrnong,7178,8256.078765154
2016,March,1 North West Metro, Melbourne,25691,17585.012594458
2016,March,1 North West Metro, Melton,8794,6218.356668081
2016,March,1 North West Metro, Moonee Valley,7066,5750.746718103
2016,March,1 North West Metro, Moreland,11173,6484.845670772
2016,March,1 North West Metro, Nillumbik,2092,3259.887181725
2016,March,1 North West Metro, Whittlesea,11094,5357.919037178
2016,March,1 North West Metro, Wyndham,11950,5264.131660558
2016,March,1 North West Metro, Yarra,10383,11177.25579693
2016,March,1 North West Metro,Total,150647,7355.788996712
2016,March,2 Eastern, Alpine,328,2607.727778661
2016,March,2 Eastern, Bass Coast,2023,6045.302414535
2016,March,2 Eastern, Baw Baw,2652,5379.746835443
2016,March,2 Eastern, Benalla,891,6372.478901445
2016,March,2 Eastern, Boroondara,6152,3470.294907376
2016,March,2 Eastern, East Gippsland,3278,7188.596491228
2016,March,2 Eastern, Greater Shepparton,5670,8713.425129088
2016,March,2 Eastern, Indigo,383,2369.316424374
2016,March,2 Eastern, Knox,7683,4791.304185142
2016,March,2 Eastern, Latrobe,9372,12559.298866286
2016,March,2 Eastern, Manningham,3403,2776.372684996
2016,March,2 Eastern, Mansfield,416,4795.941895319
2016,March,2 Eastern, Maroondah,6063,5281.358885017
2016,March,2 Eastern, Mitchell,2981,7132.432109104
2016,March,2 Eastern, Moira,1189,4032.422166452
2016,March,2 Eastern, Monash,7876,4088.773523686
2016,March,2 Eastern, Murrindindi,569,4049.245658981
2016,March,2 Eastern, South Gippsland,893,3066.41027402
2016,March,2 Eastern, Strathbogie,400,3862.122236169
2016,March,2 Eastern, Towong,181,2993.714852795
2016,March,2 Eastern, Wangaratta,1667,5830.302182429
2016,March,2 Eastern, Wellington,3102,7126.119917298
2016,March,2 Eastern, Whitehorse,5837,3440.795562394
2016,March,2 Eastern, Wodonga,2567,6401.496259352
2016,March,2 Eastern, Yarra Ranges,5737,3695.901459807
2016,March,2 Eastern,Total,81313,4913.100958053
2016,March,3 Southern Metro, Bayside,3827,3718.711131841
2016,March,3 Southern Metro, Cardinia,4956,5079.273979482
2016,March,3 Southern Metro, Casey,15785,5046.532966313
2016,March,3 Southern Metro, Frankston,11181,8014.938853923
2016,March,3 Southern Metro, Glen Eira,5207,3504.438596609
2016,March,3 Southern Metro, Greater Dandenong,14062,8776.572505648
2016,March,3 Southern Metro, Kingston,8365,5262.95921128
2016,March,3 Southern Metro, Mornington Peninsula,8591,5318.582536774
2016,March,3 Southern Metro, Port Phillip,9847,9064.965432167
2016,March,3 Southern Metro, Stonnington,8047,7249.353621073
2016,March,3 Southern Metro,Total,89868,5984.497362953
2016,March,4 Western, Ararat,879,7484.035759898
2016,March,4 Western, Ballarat,9034,8728.502415459
2016,March,4 Western, Buloke,177,2816.677275621
2016,March,4 Western, Campaspe,2518,6697.699162123
2016,March,4 Western, Central Goldfields,911,6961.106441507
2016,March,4 Western, Colac-Otway,1207,5650.220016852
2016,March,4 Western, Corangamite,563,3466.108477498
2016,March,4 Western, Gannawarra,440,4163.906501372
2016,March,4 Western, Glenelg,1246,6305.987145098
2016,March,4 Western, Golden Plains,600,2725.290697674
2016,March,4 Western, Greater Bendigo,6639,5913.581016683
2016,March,4 Western, Greater Geelong,16887,7050.085793369
2016,March,4 Western, Hepburn,612,3942.028985507
2016,March,4 Western, Hindmarsh,168,2904.564315353
2016,March,4 Western, Horsham,2036,10239.388453028
2016,March,4 Western, Loddon,309,4088.383170151
2016,March,4 Western, Macedon Ranges,1617,3405.644481887
2016,March,4 Western, Mildura,4700,8598.924219693
2016,March,4 Western, Moorabool,1666,5099.16748286
2016,March,4 Western, Mount Alexander,808,4231.031051998
2016,March,4 Western, Moyne,427,2551.233793392
2016,March,4 Western, Northern Grampians,824,7121.866897148
2016,March,4 Western, Pyrenees,414,5658.829961728
2016,March,4 Western, Queenscliffe,146,4984.636394674
2016,March,4 Western, Southern Grampians,851,5278.17403709
2016,March,4 Western, Surf Coast,1207,3961.923518792
2016,March,4 Western, Swan Hill,1608,7695.252679939
2016,March,4 Western, Warrnambool,2207,6445.301092226
2016,March,4 Western, West Wimmera,115,2921.005842012
2016,March,4 Western, Yarriambiack,331,4908.794305205
2016,March,4 Western,Total,61147,6319.646123795
2016,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,794,
2016,March,Justice Institutions and Immigration Facilities,Total,794,
2016,March,Unincorporated Vic, Unincorporated Vic,94,
2016,March,Unincorporated Vic,Total,94,
2015,March,1 North West Metro, Banyule,6577,5216.198210773
2015,March,1 North West Metro, Brimbank,13733,6837.100467988
2015,March,1 North West Metro, Darebin,10773,7088.712542935
2015,March,1 North West Metro, Hobsons Bay,5373,5860.985666601
2015,March,1 North West Metro, Hume,13486,6805.062166963
2015,March,1 North West Metro, Maribyrnong,6436,7591.144451128
2015,March,1 North West Metro, Melbourne,23674,17296.452159682
2015,March,1 North West Metro, Melton,7501,5559.796909165
2015,March,1 North West Metro, Moonee Valley,6488,5396.278829919
2015,March,1 North West Metro, Moreland,10322,6148.805623399
2015,March,1 North West Metro, Nillumbik,1653,2595.995288575
2015,March,1 North West Metro, Whittlesea,10003,5081.611606984
2015,March,1 North West Metro, Wyndham,10009,4681.149591937
2015,March,1 North West Metro, Yarra,9696,10782.558411085
2015,March,1 North West Metro,Total,135724,6862.708910286
2015,March,2 Eastern, Alpine,299,2405.6641725
2015,March,2 Eastern, Bass Coast,1897,5823.305500982
2015,March,2 Eastern, Baw Baw,2297,4801.722516044
2015,March,2 Eastern, Benalla,789,5666.88213747
2015,March,2 Eastern, Boroondara,5639,3226.840168695
2015,March,2 Eastern, East Gippsland,2940,6552.554158866
2015,March,2 Eastern, Greater Shepparton,5576,8646.435826265
2015,March,2 Eastern, Indigo,315,1978.394674036
2015,March,2 Eastern, Knox,6933,4368.620037807
2015,March,2 Eastern, Latrobe,8084,10885.196455983
2015,March,2 Eastern, Manningham,3146,2604.62805812
2015,March,2 Eastern, Mansfield,326,3821.805392732
2015,March,2 Eastern, Maroondah,5613,4966.245808375
2015,March,2 Eastern, Mitchell,2192,5444.069143652
2015,March,2 Eastern, Moira,1078,3680.68833652
2015,March,2 Eastern, Monash,6908,3651.664605073
2015,March,2 Eastern, Murrindindi,478,3451.761987291
2015,March,2 Eastern, South Gippsland,952,3307.73774365
2015,March,2 Eastern, Strathbogie,322,3164.619164619
2015,March,2 Eastern, Towong,141,2348.043297252
2015,March,2 Eastern, Wangaratta,1634,5806.061898163
2015,March,2 Eastern, Wellington,2868,6643.194663208
2015,March,2 Eastern, Whitehorse,5647,3387.949291752
2015,March,2 Eastern, Wodonga,2460,6271.830303648
2015,March,2 Eastern, Yarra Ranges,5252,3423.929696006
2015,March,2 Eastern,Total,73786,4526.070943981
2015,March,3 Southern Metro, Bayside,3361,3318.916143303
2015,March,3 Southern Metro, Cardinia,3942,4270.948449587
2015,March,3 Southern Metro, Casey,13504,4508.42659117
2015,March,3 Southern Metro, Frankston,10397,7545.540314972
2015,March,3 Southern Metro, Glen Eira,4475,3066.664839231
2015,March,3 Southern Metro, Greater Dandenong,12165,7795.028866917
2015,March,3 Southern Metro, Kingston,7240,4633.777937073
2015,March,3 Southern Metro, Mornington Peninsula,7366,4637.633711303
2015,March,3 Southern Metro, Port Phillip,9138,8589.879771764
2015,March,3 Southern Metro, Stonnington,7265,6725.108305254
2015,March,3 Southern Metro,Total,78853,5392.200104899
2015,March,4 Western, Ararat,860,7385.778083133
2015,March,4 Western, Ballarat,7825,7710.954975906
2015,March,4 Western, Buloke,200,3171.582619727
2015,March,4 Western, Campaspe,2281,6094.205028187
2015,March,4 Western, Central Goldfields,808,6239.382239382
2015,March,4 Western, Colac-Otway,1055,4969.382948658
2015,March,4 Western, Corangamite,445,2734.423006022
2015,March,4 Western, Gannawarra,433,4109.719058466
2015,March,4 Western, Glenelg,1404,7118.953452997
2015,March,4 Western, Golden Plains,490,2291.004301477
2015,March,4 Western, Greater Bendigo,6088,5539.178221785
2015,March,4 Western, Greater Geelong,14779,6344.933584057
2015,March,4 Western, Hepburn,500,3260.727794444
2015,March,4 Western, Hindmarsh,152,2617.079889807
2015,March,4 Western, Horsham,1672,8447.857720291
2015,March,4 Western, Loddon,251,3332.890718364
2015,March,4 Western, Macedon Ranges,1419,3059.970241304
2015,March,4 Western, Mildura,4627,8543.836324692
2015,March,4 Western, Moorabool,1517,4778.253748268
2015,March,4 Western, Mount Alexander,682,3628.817707779
2015,March,4 Western, Moyne,448,2700.259176662
2015,March,4 Western, Northern Grampians,769,6604.259704569
2015,March,4 Western, Pyrenees,352,4903.189859312
2015,March,4 Western, Queenscliffe,106,3614.047050801
2015,March,4 Western, Southern Grampians,679,4201.212721198
2015,March,4 Western, Surf Coast,901,3041.35021097
2015,March,4 Western, Swan Hill,1642,7859.091561767
2015,March,4 Western, Warrnambool,2008,5905.013968534
2015,March,4 Western, West Wimmera,80,2013.085052843
2015,March,4 Western, Yarriambiack,207,3032.522707296
2015,March,4 Western,Total,54680,5748.769923041
2015,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,748,
2015,March,Justice Institutions and Immigration Facilities,Total,748,
2015,March,Unincorporated Vic, Unincorporated Vic,98,
2015,March,Unincorporated Vic,Total,98,
2014,March,1 North West Metro, Banyule,6839,5466.520658316
2014,March,1 North West Metro, Brimbank,15090,7603.240824717
2014,March,1 North West Metro, Darebin,10716,7167.365611895
2014,March,1 North West Metro, Hobsons Bay,5444,6020.991627681
2014,March,1 North West Metro, Hume,12655,6616.024843422
2014,March,1 North West Metro, Maribyrnong,6943,8419.533609013
2014,March,1 North West Metro, Melbourne,24833,19404.571205314
2014,March,1 North West Metro, Melton,7195,5564.191200922
2014,March,1 North West Metro, Moonee Valley,6371,5410.01842684
2014,March,1 North West Metro, Moreland,9812,5979.317363299
2014,March,1 North West Metro, Nillumbik,1597,2517.617013227
2014,March,1 North West Metro, Whittlesea,10185,5420.465249948
2014,March,1 North West Metro, Wyndham,10256,5089.523204573
2014,March,1 North West Metro, Yarra,9791,11224.60677764
2014,March,1 North West Metro,Total,137727,7186.52391751
2014,March,2 Eastern, Alpine,355,2873.33063537
2014,March,2 Eastern, Bass Coast,2079,6513.770091174
2014,March,2 Eastern, Baw Baw,2251,4825.915444645
2014,March,2 Eastern, Benalla,859,6180.745430997
2014,March,2 Eastern, Boroondara,5967,3455.924939187
2014,March,2 Eastern, East Gippsland,3047,6881.676717031
2014,March,2 Eastern, Greater Shepparton,5347,8365.27480092
2014,March,2 Eastern, Indigo,365,2320.111873888
2014,March,2 Eastern, Knox,7315,4646.391503741
2014,March,2 Eastern, Latrobe,7729,10425.715596083
2014,March,2 Eastern, Manningham,3209,2686.772105796
2014,March,2 Eastern, Mansfield,338,4026.206075045
2014,March,2 Eastern, Maroondah,5847,5247.664264367
2014,March,2 Eastern, Mitchell,2013,5150.445194965
2014,March,2 Eastern, Moira,1164,4000.0
2014,March,2 Eastern, Monash,7078,3802.309965082
2014,March,2 Eastern, Murrindindi,565,4128.00467597
2014,March,2 Eastern, South Gippsland,894,3134.532449774
2014,March,2 Eastern, Strathbogie,369,3683.369934119
2014,March,2 Eastern, Towong,215,3594.115680374
2014,March,2 Eastern, Wangaratta,1730,6209.173785084
2014,March,2 Eastern, Wellington,2893,6736.052901183
2014,March,2 Eastern, Whitehorse,5803,3531.523855891
2014,March,2 Eastern, Wodonga,2348,6119.523573718
2014,March,2 Eastern, Yarra Ranges,5294,3483.628132238
2014,March,2 Eastern,Total,75074,4662.309530552
2014,March,3 Southern Metro, Bayside,3420,3426.956722146
2014,March,3 Southern Metro, Cardinia,4291,4872.260701715
2014,March,3 Southern Metro, Casey,12311,4275.588062666
2014,March,3 Southern Metro, Frankston,11252,8262.532952468
2014,March,3 Southern Metro, Glen Eira,4649,3235.34733531
2014,March,3 Southern Metro, Greater Dandenong,12605,8285.404410556
2014,March,3 Southern Metro, Kingston,7520,4876.467155178
2014,March,3 Southern Metro, Mornington Peninsula,7832,5004.47284345
2014,March,3 Southern Metro, Port Phillip,8789,8414.471857617
2014,March,3 Southern Metro, Stonnington,7427,7013.617390976
2014,March,3 Southern Metro,Total,80096,5605.552363443
2014,March,4 Western, Ararat,852,7370.242214533
2014,March,4 Western, Ballarat,8177,8184.038272915
2014,March,4 Western, Buloke,186,2936.069455406
2014,March,4 Western, Campaspe,2150,5758.208795329
2014,March,4 Western, Central Goldfields,802,6224.774914623
2014,March,4 Western, Colac-Otway,1130,5347.593582888
2014,March,4 Western, Corangamite,505,3090.575275398
2014,March,4 Western, Gannawarra,444,4214.923106133
2014,March,4 Western, Glenelg,1262,6388.256137687
2014,March,4 Western, Golden Plains,393,1880.472749892
2014,March,4 Western, Greater Bendigo,6143,5690.333935436
2014,March,4 Western, Greater Geelong,14129,6203.89560208
2014,March,4 Western, Hepburn,532,3503.688092729
2014,March,4 Western, Hindmarsh,175,2994.524298426
2014,March,4 Western, Horsham,1443,7307.069070286
2014,March,4 Western, Loddon,259,3447.357912951
2014,March,4 Western, Macedon Ranges,1465,3221.833696202
2014,March,4 Western, Mildura,4711,8766.771498223
2014,March,4 Western, Moorabool,1471,4735.080151935
2014,March,4 Western, Mount Alexander,608,3286.30884817
2014,March,4 Western, Moyne,460,2785.852713178
2014,March,4 Western, Northern Grampians,679,5765.475078543
2014,March,4 Western, Pyrenees,347,4924.081169292
2014,March,4 Western, Queenscliffe,88,2962.962962963
2014,March,4 Western, Southern Grampians,887,5456.782528453
2014,March,4 Western, Surf Coast,1025,3549.906490268
2014,March,4 Western, Swan Hill,1519,7254.05921681
2014,March,4 Western, Warrnambool,1910,5662.782768537
2014,March,4 Western, West Wimmera,136,3368.003962358
2014,March,4 Western, Yarriambiack,214,3090.699017909
2014,March,4 Western,Total,54102,5764.614248619
2014,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1001,
2014,March,Justice Institutions and Immigration Facilities,Total,1001,
2014,March,Unincorporated Vic, Unincorporated Vic,67,
2014,March,Unincorporated Vic,Total,67,
2013,March,1 North West Metro, Banyule,5693,4579.532474219
2013,March,1 North West Metro, Brimbank,15477,7889.625781851
2013,March,1 North West Metro, Darebin,9205,6250.339507849
2013,March,1 North West Metro, Hobsons Bay,5856,6565.905727228
2013,March,1 North West Metro, Hume,11831,6399.52832485
2013,March,1 North West Metro, Maribyrnong,7137,8945.62683312
2013,March,1 North West Metro, Melbourne,24530,20663.628475878
2013,March,1 North West Metro, Melton,6763,5456.848696101
2013,March,1 North West Metro, Moonee Valley,6823,5909.201136285
2013,March,1 North West Metro, Moreland,9507,5931.420870715
2013,March,1 North West Metro, Nillumbik,1509,2388.640896571
2013,March,1 North West Metro, Whittlesea,9715,5419.139631398
2013,March,1 North West Metro, Wyndham,10677,5613.240033437
2013,March,1 North West Metro, Yarra,8789,10467.83068531
2013,March,1 North West Metro,Total,133512,7191.171005219
2013,March,2 Eastern, Alpine,293,2385.410730278
2013,March,2 Eastern, Bass Coast,1781,5684.465864479
2013,March,2 Eastern, Baw Baw,2119,4644.179981152
2013,March,2 Eastern, Benalla,768,5533.938607869
2013,March,2 Eastern, Boroondara,5805,3404.991641493
2013,March,2 Eastern, East Gippsland,2851,6507.795201899
2013,March,2 Eastern, Greater Shepparton,4657,7363.544367845
2013,March,2 Eastern, Indigo,339,2172.380647228
2013,March,2 Eastern, Knox,6596,4218.820955951
2013,March,2 Eastern, Latrobe,7487,10100.642167179
2013,March,2 Eastern, Manningham,2868,2423.177336364
2013,March,2 Eastern, Mansfield,255,3081.198646689
2013,March,2 Eastern, Maroondah,5107,4651.988959838
2013,March,2 Eastern, Mitchell,1927,5099.502487562
2013,March,2 Eastern, Moira,1030,3563.397336101
2013,March,2 Eastern, Monash,6482,3537.147690377
2013,March,2 Eastern, Murrindindi,455,3354.715033547
2013,March,2 Eastern, South Gippsland,927,3278.746507268
2013,March,2 Eastern, Strathbogie,376,3810.682071552
2013,March,2 Eastern, Towong,182,3053.178996813
2013,March,2 Eastern, Wangaratta,1676,6061.482820976
2013,March,2 Eastern, Wellington,2830,6624.376770207
2013,March,2 Eastern, Whitehorse,5606,3458.764444938
2013,March,2 Eastern, Wodonga,2441,6496.340652029
2013,March,2 Eastern, Yarra Ranges,4970,3293.528250123
2013,March,2 Eastern,Total,69828,4387.040676313
2013,March,3 Southern Metro, Bayside,3413,3473.72063673
2013,March,3 Southern Metro, Cardinia,3886,4593.86932416
2013,March,3 Southern Metro, Casey,11747,4225.190002266
2013,March,3 Southern Metro, Frankston,10433,7765.479974098
2013,March,3 Southern Metro, Glen Eira,4599,3255.698711596
2013,March,3 Southern Metro, Greater Dandenong,11815,7956.121803073
2013,March,3 Southern Metro, Kingston,7122,4675.191681546
2013,March,3 Southern Metro, Mornington Peninsula,7164,4651.917844689
2013,March,3 Southern Metro, Port Phillip,8951,8762.089353538
2013,March,3 Southern Metro, Stonnington,7115,6875.259694454
2013,March,3 Southern Metro,Total,76245,5457.92682534
2013,March,4 Western, Ararat,871,7580.504786771
2013,March,4 Western, Ballarat,7783,7914.056780281
2013,March,4 Western, Buloke,215,3365.685660614
2013,March,4 Western, Campaspe,2187,5876.978475264
2013,March,4 Western, Central Goldfields,808,6305.111197815
2013,March,4 Western, Colac-Otway,1088,5172.331827906
2013,March,4 Western, Corangamite,491,2992.078001219
2013,March,4 Western, Gannawarra,401,3809.614288429
2013,March,4 Western, Glenelg,1035,5228.064858312
2013,March,4 Western, Golden Plains,395,1939.888026716
2013,March,4 Western, Greater Bendigo,5735,5412.573024906
2013,March,4 Western, Greater Geelong,13096,5863.259266555
2013,March,4 Western, Hepburn,515,3428.305152443
2013,March,4 Western, Hindmarsh,198,3383.458646617
2013,March,4 Western, Horsham,1315,6677.160556515
2013,March,4 Western, Loddon,325,4322.958233573
2013,March,4 Western, Macedon Ranges,1326,2973.427514295
2013,March,4 Western, Mildura,4484,8435.548197758
2013,March,4 Western, Moorabool,1386,4557.711279184
2013,March,4 Western, Mount Alexander,624,3419.740231271
2013,March,4 Western, Moyne,492,2994.339967135
2013,March,4 Western, Northern Grampians,663,5580.808080808
2013,March,4 Western, Pyrenees,260,3747.477659268
2013,March,4 Western, Queenscliffe,85,2831.445702865
2013,March,4 Western, Southern Grampians,787,4811.984102721
2013,March,4 Western, Surf Coast,1058,3748.051579991
2013,March,4 Western, Swan Hill,1349,6422.891967814
2013,March,4 Western, Warrnambool,1823,5454.327858062
2013,March,4 Western, West Wimmera,121,2934.044616877
2013,March,4 Western, Yarriambiack,265,3768.486916951
2013,March,4 Western,Total,51181,5523.503028262
2013,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,853,
2013,March,Justice Institutions and Immigration Facilities,Total,853,
2013,March,Unincorporated Vic, Unincorporated Vic,109,
2013,March,Unincorporated Vic,Total,109,
