year,region_name,lga_name,incident_count,rate_per_100000pop
2020,2 Eastern,Indigo,430,2547.091576827
2020,2 Eastern,Knox,8873,5374.579022606
2020,2 Eastern,Latrobe,10075,13274.919296396
2020,2 Eastern,Manningham,3741,2902.429941346
2020,2 Eastern,Mansfield,337,3557.85472973
2020,2 Eastern,Maroondah,5920,4959.993297306
2020,2 Eastern,Mitchell,3120,6550.905998698
2020,2 Eastern,Moira,1835,6114.220978275
2020,2 Eastern,Monash,9577,4675.24225634
2020,2 Eastern,Murrindindi,598,4079.405143598
2020,2 Eastern,South Gippsland,1359,4493.601825216
2020,2 Eastern,Strathbogie,475,4322.111010009
2020,2 Eastern,Towong,155,2540.567120144
2020,2 Eastern,Wangaratta,1748,5988.147031619
2020,2 Eastern,Wellington,3385,7562.38689931
2020,2 Eastern,Whitehorse,7354,4070.539786565
2020,2 Eastern,Wodonga,2828,6631.492554813
2020,2 Eastern,Yarra Ranges,6187,3869.269110262
2020,3 Southern Metro,Bayside,4195,3901.744856579
2020,3 Southern Metro,Cardinia,5449,4692.114939164
2020,3 Southern Metro,Casey,17145,4705.071982524
2020,3 Southern Metro,Frankston,11096,7744.222890683
2020,3 Southern Metro,Glen Eira,6105,3860.283656552
2020,3 Southern Metro,Greater Dandenong,14725,8750.973155758
2020,3 Southern Metro,Kingston,9034,5402.205372306
2020,3 Southern Metro,Mornington Peninsula,8620,5105.6671721
2020,3 Southern Metro,Port Phillip,9957,8552.874580173
2020,3 Southern Metro,Stonnington,9462,7980.298059325
2020,4 Western,Ararat,894,7473.666610935
2020,4 Western,Ballarat,8711,7824.837188412
2020,4 Western,Buloke,254,4163.251925914
2020,4 Western,Campaspe,2798,7428.055644048
2020,4 Western,Central Goldfields,866,6614.726550565
2020,4 Western,Colac-Otway,1280,5910.329223808
2020,4 Western,Corangamite,548,3440.698185471
2020,4 Western,Gannawarra,608,5846.153846154
2020,4 Western,Glenelg,1165,5938.423896422
2020,4 Western,Golden Plains,472,1947.114392971
2020,4 Western,Greater Bendigo,8323,6939.418699661
2020,4 Western,Greater Geelong,17000,6420.351759743
2020,4 Western,Hepburn,738,4567.962366923
2020,4 Western,Hindmarsh,246,4399.141630901
2020,4 Western,Horsham,1356,6775.934439336
2020,4 Western,Loddon,366,4897.631473304
2020,4 Western,Macedon Ranges,1724,3383.244696509
2020,4 Western,Mildura,5545,9916.660705344
2020,4 Western,Moorabool,1641,4558.080106661
2020,4 Western,Mount Alexander,894,4470.223511176
2020,4 Western,Moyne,506,2972.449039535
2020,4 Western,Northern Grampians,735,6446.802912025
2020,4 Western,Pyrenees,350,4632.69358041
2020,4 Western,Queenscliffe,101,3357.712765957
2020,4 Western,Southern Grampians,887,5498.729155043
2020,4 Western,Surf Coast,1043,3000.489053825
2020,4 Western,Swan Hill,1770,8624.049892808
2020,4 Western,Warrnambool,2467,6944.991836045
2020,4 Western,West Wimmera,143,3754.266211604
2020,4 Western,Yarriambiack,318,4827.690906331
2020,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1377,
2020,Unincorporated Vic,Unincorporated Vic,109,
2019,1 North West Metro,Banyule,7006,5322.090549985
2019,1 North West Metro,Brimbank,14661,6995.819972515
2019,1 North West Metro,Darebin,11245,6847.354832424
2019,1 North West Metro,Hobsons Bay,4848,4958.829847082
2019,1 North West Metro,Hume,15591,6675.801237449
2019,1 North West Metro,Maribyrnong,6669,7133.993710019
2019,1 North West Metro,Melbourne,26587,14853.570510743
2019,1 North West Metro,Melton,8330,5050.443808508
2019,1 North West Metro,Moonee Valley,6485,4976.479706553
2019,1 North West Metro,Moreland,11407,6139.033749347
2019,1 North West Metro,Nillumbik,1623,2493.125854468
2019,1 North West Metro,Whittlesea,11912,5172.451226026
2019,1 North West Metro,Wyndham,11463,4236.032327323
2019,1 North West Metro,Yarra,11182,11015.012411837
2019,2 Eastern,Alpine,399,3114.267873868
2019,2 Eastern,Bass Coast,1782,4907.063197026
2019,2 Eastern,Baw Baw,3179,5953.852492789
2019,2 Eastern,Benalla,877,6249.109305971
2019,2 Eastern,Boroondara,5570,3040.442802011
2019,2 Eastern,East Gippsland,3193,6749.386995857
2019,2 Eastern,Greater Shepparton,6228,9365.272702666
2019,2 Eastern,Indigo,371,2221.689921552
2019,2 Eastern,Knox,8090,4916.349139791
2019,2 Eastern,Latrobe,9942,13158.974494726
