,Year,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
262,2019,1 North West Metro,Brimbank,14661,6995.819972515
263,2019,1 North West Metro,Darebin,11245,6847.354832424
264,2019,1 North West Metro,Hobsons Bay,4848,4958.829847082
265,2019,1 North West Metro,Hume,15591,6675.801237449
266,2019,1 North West Metro,Maribyrnong,6669,7133.993710019
267,2019,1 North West Metro,Melbourne,26587,14853.570510743
268,2019,1 North West Metro,Melton,8330,5050.443808508
269,2019,1 North West Metro,Moonee Valley,6485,4976.479706553
270,2019,1 North West Metro,Moreland,11407,6139.033749347
271,2019,1 North West Metro,Nillumbik,1623,2493.125854468
272,2019,1 North West Metro,Whittlesea,11912,5172.451226026
273,2019,1 North West Metro,Wyndham,11463,4236.032327323
274,2019,1 North West Metro,Yarra,11182,11015.012411837
275,2019,1 North West Metro,Total,149009,6599.751882034
276,2019,2 Eastern,Alpine,399,3114.267873868
277,2019,2 Eastern,Bass Coast,1782,4907.063197026
278,2019,2 Eastern,Baw Baw,3179,5953.852492789
279,2019,2 Eastern,Benalla,877,6249.109305971
280,2019,2 Eastern,Boroondara,5570,3040.442802011
281,2019,2 Eastern,East Gippsland,3193,6749.386995857
282,2019,2 Eastern,Greater Shepparton,6228,9365.272702666
283,2019,2 Eastern,Indigo,371,2221.689921552
284,2019,2 Eastern,Knox,8090,4916.349139791
285,2019,2 Eastern,Latrobe,9942,13158.974494726
286,2019,2 Eastern,Manningham,3410,2672.727985265
287,2019,2 Eastern,Mansfield,321,3498.63760218
288,2019,2 Eastern,Maroondah,6034,5089.019895588
289,2019,2 Eastern,Mitchell,3034,6583.201336603
290,2019,2 Eastern,Moira,1682,5621.657754011
291,2019,2 Eastern,Monash,8030,3957.692610993
292,2019,2 Eastern,Murrindindi,593,4070.565623284
293,2019,2 Eastern,South Gippsland,995,3326.646606486
294,2019,2 Eastern,Strathbogie,448,4156.615327519
295,2019,2 Eastern,Towong,173,2864.712700778
296,2019,2 Eastern,Wangaratta,1639,5616.091008772
297,2019,2 Eastern,Wellington,2921,6582.090224886
298,2019,2 Eastern,Whitehorse,6361,3558.024152725
299,2019,2 Eastern,Wodonga,2420,5750.540598341
300,2019,2 Eastern,Yarra Ranges,5767,3616.263466145
301,2019,2 Eastern,Total,83459,4852.857120429
302,2019,3 Southern Metro,Bayside,3606,3374.635022834
303,2019,3 Southern Metro,Cardinia,4697,4187.058183796
304,2019,3 Southern Metro,Casey,16217,4581.565252767
305,2019,3 Southern Metro,Frankston,11156,7820.813908654
306,2019,3 Southern Metro,Glen Eira,4892,3125.179672278
307,2019,3 Southern Metro,Greater Dandenong,14195,8436.298369795
308,2019,3 Southern Metro,Kingston,8608,5191.672094762
309,2019,3 Southern Metro,Mornington Peninsula,8161,4868.779792267
310,2019,3 Southern Metro,Port Phillip,9650,8346.306867324
311,2019,3 Southern Metro,Stonnington,8170,6936.897160712
312,2019,3 Southern Metro,Total,89352,5559.285167213
313,2019,4 Western,Ararat,912,7700.101317123
314,2019,4 Western,Ballarat,8129,7423.473115137
315,2019,4 Western,Buloke,214,3495.018781643
316,2019,4 Western,Campaspe,2919,7760.202047056
317,2019,4 Western,Central Goldfields,917,6956.455773024
318,2019,4 Western,Colac-Otway,1320,6121.881087098
319,2019,4 Western,Corangamite,487,3040.519448086
320,2019,4 Western,Gannawarra,581,5549.718215684
321,2019,4 Western,Glenelg,956,4859.946113568
322,2019,4 Western,Golden Plains,510,2149.903043588
323,2019,4 Western,Greater Bendigo,8092,6852.342684879
324,2019,4 Western,Greater Geelong,15777,6092.964338954
325,2019,4 Western,Hepburn,619,3875.289551118
326,2019,4 Western,Hindmarsh,249,4457.572502685
327,2019,4 Western,Horsham,1436,7208.835341365
328,2019,4 Western,Loddon,386,5145.29458811
329,2019,4 Western,Macedon Ranges,1782,3547.680668923
330,2019,4 Western,Mildura,5493,9847.792179853
331,2019,4 Western,Moorabool,1633,4658.925565604
332,2019,4 Western,Mount Alexander,751,3802.33912207
333,2019,4 Western,Moyne,458,2701.746106654
334,2019,4 Western,Northern Grampians,762,6683.624243487
335,2019,4 Western,Pyrenees,419,5609.103078983
336,2019,4 Western,Queenscliffe,118,4014.971078598
337,2019,4 Western,Southern Grampians,1108,6882.842589142
338,2019,4 Western,Surf Coast,899,2687.031114565
339,2019,4 Western,Swan Hill,1868,9046.004842615
340,2019,4 Western,Warrnambool,3007,8547.227196498
341,2019,4 Western,West Wimmera,125,3256.056264652
342,2019,4 Western,Yarriambiack,320,4821.455476872
343,2019,4 Western,Total,62247,6156.03557915
344,2019,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1483,
345,2019,Justice Institutions and Immigration Facilities,Total,1483,
346,2019,Unincorporated Vic,Unincorporated Vic,95,
347,2019,Unincorporated Vic,Total,95,
