Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2021,March,Wodonga,Unsolved,776
2021,March,Wyndham,Charges laid,4959
2021,March,Wyndham,No charges laid,2718
2021,March,Wyndham,Unsolved,5029
2021,March,Yarra,Charges laid,3579
2021,March,Yarra,No charges laid,2304
2021,March,Yarra,Unsolved,4944
2021,March,Yarra Ranges,Charges laid,2381
2021,March,Yarra Ranges,No charges laid,1593
2021,March,Yarra Ranges,Unsolved,2137
2021,March,Yarriambiack,Charges laid,138
2021,March,Yarriambiack,No charges laid,87
2021,March,Yarriambiack,Unsolved,108
2020,March,Alpine,Charges laid,224
2020,March,Alpine,No charges laid,90
2020,March,Alpine,Unsolved,124
2020,March,Ararat,Charges laid,476
2020,March,Ararat,No charges laid,156
2020,March,Ararat,Unsolved,262
2020,March,Ballarat,Charges laid,3479
2020,March,Ballarat,No charges laid,753
2020,March,Ballarat,Unsolved,4479
2020,March,Banyule,Charges laid,3271
2020,March,Banyule,No charges laid,825
2020,March,Banyule,Unsolved,3166
2020,March,Bass Coast,Charges laid,805
2020,March,Bass Coast,No charges laid,332
2020,March,Bass Coast,Unsolved,649
2020,March,Baw Baw,Charges laid,1664
2020,March,Baw Baw,No charges laid,447
2020,March,Baw Baw,Unsolved,1476
2020,March,Bayside,Charges laid,1025
2020,March,Bayside,No charges laid,477
2020,March,Bayside,Unsolved,2693
2020,March,Benalla,Charges laid,467
2020,March,Benalla,No charges laid,178
2020,March,Benalla,Unsolved,290
2020,March,Boroondara,Charges laid,1592
2020,March,Boroondara,No charges laid,562
2020,March,Boroondara,Unsolved,4367
2020,March,Brimbank,Charges laid,6321
2020,March,Brimbank,No charges laid,1651
2020,March,Brimbank,Unsolved,7508
2020,March,Buloke,Charges laid,82
2020,March,Buloke,No charges laid,48
2020,March,Buloke,Unsolved,124
2020,March,Campaspe,Charges laid,1350
2020,March,Campaspe,No charges laid,378
2020,March,Campaspe,Unsolved,1070
2020,March,Cardinia,Charges laid,2137
2020,March,Cardinia,No charges laid,850
2020,March,Cardinia,Unsolved,2462
2020,March,Casey,Charges laid,5731
2020,March,Casey,No charges laid,3145
2020,March,Casey,Unsolved,8269
2020,March,Central Goldfields,Charges laid,441
2020,March,Central Goldfields,No charges laid,165
2020,March,Central Goldfields,Unsolved,260
2020,March,Colac-Otway,Charges laid,561
2020,March,Colac-Otway,No charges laid,232
2020,March,Colac-Otway,Unsolved,487
2020,March,Corangamite,Charges laid,274
2020,March,Corangamite,No charges laid,79
2020,March,Corangamite,Unsolved,195
2020,March,Darebin,Charges laid,3896
2020,March,Darebin,No charges laid,1045
2020,March,Darebin,Unsolved,6954
2020,March,East Gippsland,Charges laid,1705
2020,March,East Gippsland,No charges laid,769
2020,March,East Gippsland,Unsolved,1164
2020,March,Frankston,Charges laid,5250
2020,March,Frankston,No charges laid,1521
2020,March,Frankston,Unsolved,4325
2020,March,Gannawarra,Charges laid,319
2020,March,Gannawarra,No charges laid,140
2020,March,Gannawarra,Unsolved,149
2020,March,Glen Eira,Charges laid,1594
2020,March,Glen Eira,No charges laid,753
2020,March,Glen Eira,Unsolved,3758
2020,March,Glenelg,Charges laid,657
2020,March,Glenelg,No charges laid,201
2020,March,Glenelg,Unsolved,307
2020,March,Golden Plains,Charges laid,141
2020,March,Golden Plains,No charges laid,65
2020,March,Golden Plains,Unsolved,266
2020,March,Greater Bendigo,Charges laid,3982
2020,March,Greater Bendigo,No charges laid,1105
2020,March,Greater Bendigo,Unsolved,3236
2020,March,Greater Dandenong,Charges laid,5762
2020,March,Greater Dandenong,No charges laid,2240
2020,March,Greater Dandenong,Unsolved,6723
2020,March,Greater Geelong,Charges laid,7093
2020,March,Greater Geelong,No charges laid,1881
2020,March,Greater Geelong,Unsolved,8026
2020,March,Greater Shepparton,Charges laid,3027
2020,March,Greater Shepparton,No charges laid,876
2020,March,Greater Shepparton,Unsolved,2479
2020,March,Hepburn,Charges laid,263
2020,March,Hepburn,No charges laid,105
2020,March,Hepburn,Unsolved,370
2020,March,Hindmarsh,Charges laid,116
2020,March,Hindmarsh,No charges laid,47
2020,March,Hindmarsh,Unsolved,83
2020,March,Hobsons Bay,Charges laid,1842
2020,March,Hobsons Bay,No charges laid,665
2020,March,Hobsons Bay,Unsolved,2399
2020,March,Horsham,Charges laid,855
2020,March,Horsham,No charges laid,230
2020,March,Horsham,Unsolved,271
2020,March,Hume,Charges laid,6411
2020,March,Hume,No charges laid,2393
2020,March,Hume,Unsolved,7090
2020,March,Indigo,Charges laid,162
2020,March,Indigo,No charges laid,46
2020,March,Indigo,Unsolved,222
2020,March,Kingston,Charges laid,3407
2020,March,Kingston,No charges laid,1218
2020,March,Kingston,Unsolved,4409
2020,March,Knox,Charges laid,3265
2020,March,Knox,No charges laid,1183
2020,March,Knox,Unsolved,4425
2020,March,Latrobe,Charges laid,4989
2020,March,Latrobe,No charges laid,1506
2020,March,Latrobe,Unsolved,3580
2020,March,Loddon,Charges laid,174
2020,March,Loddon,No charges laid,40
2020,March,Loddon,Unsolved,152
2020,March,Macedon Ranges,Charges laid,774
2020,March,Macedon Ranges,No charges laid,225
2020,March,Macedon Ranges,Unsolved,725
2020,March,Manningham,Charges laid,1117
2020,March,Manningham,No charges laid,474
2020,March,Manningham,Unsolved,2150
2020,March,Mansfield,Charges laid,158
2020,March,Mansfield,No charges laid,58
2020,March,Mansfield,Unsolved,121
2020,March,Maribyrnong,Charges laid,2505
2020,March,Maribyrnong,No charges laid,656
2020,March,Maribyrnong,Unsolved,4144
2020,March,Maroondah,Charges laid,2618
2020,March,Maroondah,No charges laid,880
2020,March,Maroondah,Unsolved,2422
2020,March,Melbourne,Charges laid,9933
2020,March,Melbourne,No charges laid,4391
2020,March,Melbourne,Unsolved,12577
2020,March,Melton,Charges laid,3605
2020,March,Melton,No charges laid,966
2020,March,Melton,Unsolved,4749
2020,March,Mildura,Charges laid,2859
2020,March,Mildura,No charges laid,926
2020,March,Mildura,Unsolved,1760
2020,March,Mitchell,Charges laid,1451
2020,March,Mitchell,No charges laid,567
2020,March,Mitchell,Unsolved,1102
2020,March,Moira,Charges laid,946
2020,March,Moira,No charges laid,217
2020,March,Moira,Unsolved,672
2020,March,Monash,Charges laid,2823
2020,March,Monash,No charges laid,1098
2020,March,Monash,Unsolved,5656
2020,March,Moonee Valley,Charges laid,2158
2020,March,Moonee Valley,No charges laid,947
2020,March,Moonee Valley,Unsolved,3614
2020,March,Moorabool,Charges laid,640
2020,March,Moorabool,No charges laid,173
2020,March,Moorabool,Unsolved,828
2020,March,Moreland,Charges laid,3433
2020,March,Moreland,No charges laid,1295
2020,March,Moreland,Unsolved,6372
2020,March,Mornington Peninsula,Charges laid,3282
2020,March,Mornington Peninsula,No charges laid,1380
2020,March,Mornington Peninsula,Unsolved,3958
2020,March,Mount Alexander,Charges laid,421
2020,March,Mount Alexander,No charges laid,108
2020,March,Mount Alexander,Unsolved,365
2020,March,Moyne,Charges laid,240
2020,March,Moyne,No charges laid,89
2020,March,Moyne,Unsolved,177
2020,March,Murrindindi,Charges laid,198
2020,March,Murrindindi,No charges laid,143
2020,March,Murrindindi,Unsolved,257
2020,March,Nillumbik,Charges laid,611
2020,March,Nillumbik,No charges laid,279
2020,March,Nillumbik,Unsolved,801
2020,March,Northern Grampians,Charges laid,383
2020,March,Northern Grampians,No charges laid,135
2020,March,Northern Grampians,Unsolved,217
2020,March,Port Phillip,Charges laid,3233
2020,March,Port Phillip,No charges laid,1121
2020,March,Port Phillip,Unsolved,5603
2020,March,Pyrenees,Charges laid,149
2020,March,Pyrenees,No charges laid,32
2020,March,Pyrenees,Unsolved,169
2020,March,Queenscliffe,Charges laid,19
2020,March,Queenscliffe,No charges laid,9
2020,March,Queenscliffe,Unsolved,73
2020,March,South Gippsland,Charges laid,675
2020,March,South Gippsland,No charges laid,180
2020,March,South Gippsland,Unsolved,504
2020,March,Southern Grampians,Charges laid,456
2020,March,Southern Grampians,No charges laid,144
2020,March,Southern Grampians,Unsolved,287
2020,March,Stonnington,Charges laid,2813
2020,March,Stonnington,No charges laid,1110
2020,March,Stonnington,Unsolved,5539
2020,March,Strathbogie,Charges laid,171
2020,March,Strathbogie,No charges laid,86
2020,March,Strathbogie,Unsolved,218
2020,March,Surf Coast,Charges laid,372
2020,March,Surf Coast,No charges laid,155
2020,March,Surf Coast,Unsolved,516
2020,March,Swan Hill,Charges laid,975
2020,March,Swan Hill,No charges laid,332
2020,March,Swan Hill,Unsolved,463
2020,March,Towong,Charges laid,58
2020,March,Towong,No charges laid,24
2020,March,Towong,Unsolved,73
2020,March,Wangaratta,Charges laid,865
2020,March,Wangaratta,No charges laid,364
2020,March,Wangaratta,Unsolved,519
2020,March,Warrnambool,Charges laid,1293
2020,March,Warrnambool,No charges laid,421
2020,March,Warrnambool,Unsolved,753
2020,March,Wellington,Charges laid,1586
2020,March,Wellington,No charges laid,766
2020,March,Wellington,Unsolved,1033
2020,March,West Wimmera,Charges laid,74
2020,March,West Wimmera,No charges laid,21
2020,March,West Wimmera,Unsolved,48
2020,March,Whitehorse,Charges laid,2300
2020,March,Whitehorse,No charges laid,739
2020,March,Whitehorse,Unsolved,4315
2020,March,Whittlesea,Charges laid,4402
2020,March,Whittlesea,No charges laid,1935
2020,March,Whittlesea,Unsolved,5911
2020,March,Wodonga,Charges laid,1373
2020,March,Wodonga,No charges laid,316
2020,March,Wodonga,Unsolved,1139
2020,March,Wyndham,Charges laid,5479
2020,March,Wyndham,No charges laid,1607
