,Year,Local Government Area,Charge Status,Incidents Recorded
218,2022,Whitehorse,Unsolved,3048
219,2022,Whittlesea,Charges laid,3028
220,2022,Whittlesea,No charges laid,2072
221,2022,Whittlesea,Unsolved,3839
222,2022,Wodonga,Charges laid,917
223,2022,Wodonga,No charges laid,560
224,2022,Wodonga,Unsolved,1205
225,2022,Wyndham,Charges laid,3868
226,2022,Wyndham,No charges laid,1978
227,2022,Wyndham,Unsolved,6248
228,2022,Yarra,Charges laid,2351
229,2022,Yarra,No charges laid,1278
230,2022,Yarra,Unsolved,5161
231,2022,Yarra Ranges,Charges laid,1613
232,2022,Yarra Ranges,No charges laid,1290
233,2022,Yarra Ranges,Unsolved,2083
234,2022,Yarriambiack,Charges laid,128
235,2022,Yarriambiack,No charges laid,74
236,2022,Yarriambiack,Unsolved,102
237,2021,Alpine,Charges laid,177
238,2021,Alpine,No charges laid,119
239,2021,Alpine,Unsolved,104
240,2021,Ararat,Charges laid,594
241,2021,Ararat,No charges laid,259
242,2021,Ararat,Unsolved,234
243,2021,Ballarat,Charges laid,3045
244,2021,Ballarat,No charges laid,1088
245,2021,Ballarat,Unsolved,3055
246,2021,Banyule,Charges laid,2742
247,2021,Banyule,No charges laid,1225
248,2021,Banyule,Unsolved,2319
249,2021,Bass Coast,Charges laid,907
250,2021,Bass Coast,No charges laid,554
251,2021,Bass Coast,Unsolved,635
252,2021,Baw Baw,Charges laid,1639
253,2021,Baw Baw,No charges laid,864
254,2021,Baw Baw,Unsolved,1082
255,2021,Bayside,Charges laid,1158
256,2021,Bayside,No charges laid,741
257,2021,Bayside,Unsolved,1928
258,2021,Benalla,Charges laid,477
259,2021,Benalla,No charges laid,219
260,2021,Benalla,Unsolved,299
261,2021,Boroondara,Charges laid,1673
262,2021,Boroondara,No charges laid,867
263,2021,Boroondara,Unsolved,3414
264,2021,Brimbank,Charges laid,5556
265,2021,Brimbank,No charges laid,2984
266,2021,Brimbank,Unsolved,5974
267,2021,Buloke,Charges laid,105
268,2021,Buloke,No charges laid,74
269,2021,Buloke,Unsolved,65
270,2021,Campaspe,Charges laid,1072
271,2021,Campaspe,No charges laid,506
272,2021,Campaspe,Unsolved,878
273,2021,Cardinia,Charges laid,2043
274,2021,Cardinia,No charges laid,1546
275,2021,Cardinia,Unsolved,1974
276,2021,Casey,Charges laid,5757
277,2021,Casey,No charges laid,4311
278,2021,Casey,Unsolved,6069
279,2021,Central Goldfields,Charges laid,396
280,2021,Central Goldfields,No charges laid,200
281,2021,Central Goldfields,Unsolved,224
282,2021,Colac-Otway,Charges laid,553
283,2021,Colac-Otway,No charges laid,373
284,2021,Colac-Otway,Unsolved,300
285,2021,Corangamite,Charges laid,303
286,2021,Corangamite,No charges laid,167
287,2021,Corangamite,Unsolved,212
288,2021,Darebin,Charges laid,4328
289,2021,Darebin,No charges laid,2152
290,2021,Darebin,Unsolved,4995
291,2021,East Gippsland,Charges laid,1680
292,2021,East Gippsland,No charges laid,993
293,2021,East Gippsland,Unsolved,956
294,2021,Frankston,Charges laid,4518
295,2021,Frankston,No charges laid,2781
296,2021,Frankston,Unsolved,2908
297,2021,Gannawarra,Charges laid,320
298,2021,Gannawarra,No charges laid,182
299,2021,Gannawarra,Unsolved,137
300,2021,Glen Eira,Charges laid,1602
301,2021,Glen Eira,No charges laid,1202
302,2021,Glen Eira,Unsolved,3216
303,2021,Glenelg,Charges laid,594
304,2021,Glenelg,No charges laid,221
305,2021,Glenelg,Unsolved,233
306,2021,Golden Plains,Charges laid,143
307,2021,Golden Plains,No charges laid,77
308,2021,Golden Plains,Unsolved,230
309,2021,Greater Bendigo,Charges laid,3849
310,2021,Greater Bendigo,No charges laid,1419
311,2021,Greater Bendigo,Unsolved,2732
312,2021,Greater Dandenong,Charges laid,5201
313,2021,Greater Dandenong,No charges laid,3905
314,2021,Greater Dandenong,Unsolved,5115
315,2021,Greater Geelong,Charges laid,6993
316,2021,Greater Geelong,No charges laid,2585
317,2021,Greater Geelong,Unsolved,5933
318,2021,Greater Shepparton,Charges laid,2925
319,2021,Greater Shepparton,No charges laid,1128
320,2021,Greater Shepparton,Unsolved,1884
321,2021,Hepburn,Charges laid,170
322,2021,Hepburn,No charges laid,85
323,2021,Hepburn,Unsolved,252
324,2021,Hindmarsh,Charges laid,126
325,2021,Hindmarsh,No charges laid,56
326,2021,Hindmarsh,Unsolved,105
327,2021,Hobsons Bay,Charges laid,1568
328,2021,Hobsons Bay,No charges laid,1042
329,2021,Hobsons Bay,Unsolved,1851
330,2021,Horsham,Charges laid,799
331,2021,Horsham,No charges laid,360
332,2021,Horsham,Unsolved,313
333,2021,Hume,Charges laid,6035
334,2021,Hume,No charges laid,4243
335,2021,Hume,Unsolved,5201
336,2021,Indigo,Charges laid,171
337,2021,Indigo,No charges laid,90
338,2021,Indigo,Unsolved,166
339,2021,Kingston,Charges laid,2841
340,2021,Kingston,No charges laid,1800
341,2021,Kingston,Unsolved,3400
342,2021,Knox,Charges laid,3166
343,2021,Knox,No charges laid,1770
344,2021,Knox,Unsolved,3347
345,2021,Latrobe,Charges laid,4744
346,2021,Latrobe,No charges laid,1912
347,2021,Latrobe,Unsolved,2431
348,2021,Loddon,Charges laid,180
349,2021,Loddon,No charges laid,84
350,2021,Loddon,Unsolved,148
351,2021,Macedon Ranges,Charges laid,861
352,2021,Macedon Ranges,No charges laid,460
353,2021,Macedon Ranges,Unsolved,532
354,2021,Manningham,Charges laid,1159
355,2021,Manningham,No charges laid,600
356,2021,Manningham,Unsolved,1612
357,2021,Mansfield,Charges laid,170
358,2021,Mansfield,No charges laid,109
359,2021,Mansfield,Unsolved,109
360,2021,Maribyrnong,Charges laid,2234
361,2021,Maribyrnong,No charges laid,1260
362,2021,Maribyrnong,Unsolved,3554
363,2021,Maroondah,Charges laid,2591
364,2021,Maroondah,No charges laid,1162
